home_pos,home_value,home_score_form,home_concede_form,away_pos,away_value,away_score_form,away_concede_form,home_result_score,away_result_score
8,1351,1.6666666666666667,5,16,1284,4,5,5,2
3,1460,3.3333333333333335,4,19,1265,2,6,6,1
15,1343,1.0,4,7,1400,5,0,2,1
14,1326,0.6666666666666666,3,13,1230,6,6,1,2
15,1310,1.0,5,4,1360,7,6,0,1
20,1268,0.6666666666666666,6,9,1377,6,3,0,1
9,1286,0.6666666666666666,6,2,1480,8,1,3,1
3,1419,1.0,7,9,1271,3,8,5,0
10,1315,1.0,3,2,1459,9,5,0,2
2,1460,3.3333333333333335,2,4,1360,6,2,4,3
12,1287,0.6666666666666666,5,14,1311,2,5,2,1
13,1388,1.0,4,17,1337,4,3,3,0
1,1478,2.3333333333333335,1,6,1418,5,5,3,0
9,1273,0.3333333333333333,7,8,1266,6,3,3,1
18,1288,1.0,5,10,1158,1,3,0,1
15,1234,1.6666666666666667,6,9,1321,2,2,1,1
6,1400,2.0,1,20,1296,3,8,2,0
6,1353,2.3333333333333335,7,12,1314,2,7,4,0
13,1336,0.3333333333333333,3,3,1451,8,5,2,3
15,1332,0.6666666666666666,2,6,1403,5,3,0,1
10,1318,0.3333333333333333,4,19,1394,3,8,2,1
10,1314,0.3333333333333333,8,12,1262,3,2,1,0
6,1272,1.0,5,15,1287,3,6,4,1
6,1319,0.3333333333333333,4,1,1482,8,1,1,2
20,1296,0.3333333333333333,6,16,1215,2,5,2,3
3,1368,1.3333333333333333,0,7,1438,11,4,4,2
4,1433,2.6666666666666665,5,10,1273,2,3,4,0
12,1343,0.3333333333333333,4,15,1272,2,2,3,1
3,1417,3.0,3,1,1453,7,2,1,3
20,1224,0.3333333333333333,6,4,1468,3,0,0,1
16,1367,0.3333333333333333,7,17,1309,2,6,2,1
8,1385,1.0,3,15,1294,1,2,2,0
1,1490,2.3333333333333335,2,9,1271,2,2,3,0
12,1273,0.3333333333333333,3,13,1218,3,7,1,1
1,1337,3.0,3,11,1192,1,1,2,1
0,1307,0.6666666666666666,4,0,1121,4,4,1,0
0,1231,0.0,2,0,1339,6,5,2,3
0,1317,0.3333333333333333,4,0,1304,3,2,0,0
0,1461,2.0,1,0,1430,10,2,2,1
0,1426,1.6666666666666667,2,0,1310,0,2,1,3
0,1295,0.6666666666666666,0,0,1333,7,2,1,2
0,1271,0.3333333333333333,2,0,1368,1,6,1,0
0,1312,0.3333333333333333,0,0,1485,5,2,0,2
0,1262,0.3333333333333333,1,0,1298,2,4,0,0
0,1441,2.0,1,0,1171,0,2,4,1
0,1332,0.6666666666666666,1,0,1427,1,1,0,5
0,1194,0.6666666666666666,3,0,1328,0,2,2,1
0,1386,0.6666666666666666,0,0,1276,1,2,1,0
0,1236,0.6666666666666666,7,0,1103,0,1,1,0
0,1240,0.3333333333333333,2,0,1338,2,1,1,5
0,1271,0.0,2,0,1361,1,0,1,0
0,1258,0.0,1,0,1197,0,1,1,0
0,1422,0.3333333333333333,2,0,1298,2,0,4,0
0,1268,0.6666666666666666,0,0,1204,0,2,0,1
0,1121,0.3333333333333333,0,0,1410,2,1,1,3
0,1346,0.0,0,0,1258,0,0,1,0
0,1416,0.0,0,0,1411,0,0,2,1
0,1485,0.0,0,0,1242,0,0,2,1
0,1272,0.0,0,0,1313,0,0,0,2
0,1298,0.0,0,0,1264,0,0,2,0
0,1170,0.0,0,0,1315,0,0,0,1
0,1151,0.0,0,0,1120,0,0,0,1
0,1167,0.0,0,0,1386,0,0,0,2
0,1377,0.0,0,0,1248,0,0,0,2
0,1296,0.0,0,0,1439,0,0,1,6
17,1295,2.3333333333333335,3,15,1327,3,2,2,3
20,1187,1.3333333333333333,6,10,1043,3,7,0,3
5,1416,1.0,2,18,1078,2,5,2,1
12,1258,1.0,4,15,1216,5,4,0,1
11,1151,1.3333333333333333,6,10,1280,4,4,3,3
1,1376,1.0,3,19,1180,5,4,4,2
8,1303,2.3333333333333335,5,4,1322,3,5,2,2
7,1348,1.0,3,2,1456,5,5,1,0
